wavenumber,II1,III11,IV1
1886.382048,98.384501,98.526987,99.123664
1884.453232,98.386771,98.512096,99.146609
1882.524416,98.412149,98.517475,99.150257
1880.5956,98.412698,98.550026,99.165408
1878.666784,98.43108,98.567365,99.181463
1876.737968,98.441818,98.549217,99.172623
1874.809152,98.41847,98.520488,99.158095
1872.880336,98.351642,98.456288,99.10066
1870.95152,98.315251,98.416243,99.023401
1869.022704,98.30757,98.368604,98.885472
1867.093888,98.306508,98.382894,98.882683
1865.165072,98.350754,98.447136,99.010887
1863.236256,98.364969,98.490062,99.084902
1861.30744,98.372557,98.496068,99.109614
1859.378624,98.396819,98.511797,99.130851
1857.449808,98.377433,98.486523,99.118894
1855.520992,98.344548,98.471408,99.115048
1853.592176,98.342493,98.481981,99.112187
1851.66336,98.348434,98.496623,99.085198
1849.734544,98.352285,98.47463,99.043146
1847.805728,98.355767,98.460616,99.011335
1845.876912,98.321895,98.418075,98.957424
1843.948096,98.324805,98.343866,98.862862
1842.01928,98.309734,98.353465,98.89515
1840.090464,98.324076,98.425693,99.018019
1838.161648,98.346033,98.440947,99.048822
1836.232832,98.343633,98.430953,99.056118
1834.304016,98.336063,98.403619,99.05409
1832.3752,98.334027,98.381814,98.994302
1830.446384,98.299192,98.309396,98.873308
1828.517568,98.27866,98.260143,98.83349
1826.588752,98.31896,98.278689,98.87669
1824.659936,98.327193,98.284386,98.866345
1822.73112,98.306952,98.291228,98.920135
1820.802304,98.311234,98.334521,98.978383
1818.873488,98.304875,98.299863,98.958627
1816.944672,98.333684,98.292712,98.92856
1815.015856,98.344729,98.272958,98.908511
1813.08704,98.314897,98.217059,98.875933
1811.158224,98.266215,98.133653,98.805661
1809.229408,98.213709,98.09153,98.766225
1807.300592,98.206155,98.106091,98.782218
1805.371776,98.243006,98.139537,98.8195
1803.44296,98.230174,98.080228,98.768584
1801.514144,98.16204,97.958727,98.625409
1799.585328,98.110115,97.851214,98.524402
1797.656512,98.082073,97.819868,98.517066
1795.727696,98.066203,97.795051,98.517748
1793.79888,98.073331,97.760114,98.448402
1791.870064,97.999858,97.630545,98.273105
1789.941248,97.96406,97.574432,98.296548
1788.012432,97.955663,97.585359,98.387188
1786.083616,97.915894,97.524771,98.326472
1784.1548,97.873089,97.388604,98.211889
1782.225984,97.826086,97.285235,98.125789
1780.297168,97.719939,97.113522,97.940744
1778.368352,97.611918,96.937769,97.778591
1776.439536,97.484219,96.742569,97.602982
1774.51072,97.337006,96.46997,97.309456
1772.581904,97.104258,96.037845,96.821725
1770.653088,96.748589,95.439701,96.244351
1768.724272,96.470598,94.97665,95.849699
1766.795456,96.130223,94.357968,95.283095
1764.86664,95.738128,93.705759,94.63457
1762.937824,95.266519,92.937554,93.786951
1761.009008,94.595397,91.751757,92.583133
1759.080192,93.974068,90.6782,91.518845
1757.151376,93.341056,89.627082,90.419402
1755.22256,92.52825,88.277354,89.032701
1753.293744,91.874824,87.173275,87.878803
1751.364928,91.056096,85.783574,86.38123
1749.436112,89.996902,83.982097,84.503917
1747.507296,89.044195,82.39803,82.855886
1745.57848,88.242837,81.114043,81.547594
1743.649664,87.486147,79.923426,80.351531
1741.720848,86.805957,78.865797,79.352995
1739.792032,86.198201,77.963439,78.532377
